,Unnamed: 0,username,followers,created_at,tweet_text,tone
37,37,viaCristiano,5404,2020-03-24 12:25:22,"Twitter basically saying it won't step into U.S.-China blame game over the #coronavirus, as some U.S. lawmakers had…",2.0
38,38,rene_ames,160,2020-03-24 12:25:22,24.03.2020 #selfquarantinechallenge: #dancing to #coronavirus (Sh*t Is Real) Remix By DJ iMarkkez #ISTstyle…,1.0
39,39,HalARose,5759,2020-03-24 12:25:22,#Coronavirus and the #law for #teleworking employees from BLaw. #Legal tips for #privacy #personaldata and…,1.0
40,40,TiciaAIM,3273,2020-03-24 12:25:22,Recent events have me thinking of Anne Frank and how she kept her diary with the plan to publish it. Are you keepin…,0.0
41,41,NCdeplorables,10083,2020-03-24 12:25:22,If you voted for Pelosi or Schumer and you lost your job and need some of YOUR tax money back to help you get throu…,0.0
42,42,CGTNOfficial,14046187,2020-03-24 12:25:21,#BREAKING Abe: Japan and IOC have decided to postpone #Tokyo2020 Olympic Games until 2021 over #coronavirus pandemic,0.0
43,43,eMbeddedHome,676,2020-03-24 12:25:20,"#nCoV2019  #Coronavirus  #SARSCoV2 #coronavirusDE

A Single Ventilator for Multiple Simulated
Patients to Meet Disa…",1.0
44,44,SuppCommunities,2713,2020-03-24 12:25:20,Neighbourly is launching a series of micro-grants of up to £400 to support good causes that are helping communities…,1.0
45,45,MegMRivers,3176,2020-03-24 12:25:19,Realized I was critically low on some essential items. Finally found some toilet tissue and Clorox wipes. #coronavirus,0.0
46,46,NewsUSA2024,111,2020-03-24 12:25:19,Hasn’t the conventional thinking with models help create what appears to be unnecessary panic? #coronavirus,1.0
47,47,Healthabove60,598,2020-03-24 12:25:19,"Help #India fight back the #coronavirus. Follow the precautions, stay at #home because prevention is always better…",1.0
48,48,LeenaNairHR,7558,2020-03-24 12:25:18,Unilever #Covd19 announcement⠀ ⠀ We are making €100 million worth of product donations to global and national eme…,0.0
49,49,ShadabPeerzada,232,2020-03-24 12:25:18,"Complete lockdown in Sopore, as the Hyderpora man (name withheld) found #CoronaVirus positive today has stayed in a…",1.0
51,51,SunainaAyushi,6240,2020-03-24 12:25:17,THE WORLD IS DIEING AND DEALING WITH #CORONAVIRUS ALREADY AND THIS NEW #HANTAVIRUS EMERGENCY FROM #CHINA NOW? TF IS THIS CHINA?,2.0
53,53,KayteBeale,28,2020-03-24 12:25:17,What a weird time to be alive! #Coronavirus #COVIDー19,1.0
54,54,RebelCapitalist,5702,2020-03-24 12:25:16,Again don’t be fooled: people are NOT going out to buy junk IF parents and grandparents are dying and hospitals are…,2.0
55,55,ev3927,321,2020-03-24 12:25:16,Please consider before a non-essential trip out. If someone important in your life is taken to hospital very ill wi…,0.0
56,56,naveedaheeer,483,2020-03-24 12:25:15,Work from home somewhere in Karachi . My productivity has been increased  as I'm in front of computer 9AM to 2AM…,0.0
57,57,jftaveira1993,1717,2020-03-24 12:25:15,"Hundreds of #refugees forced to leave a UN-run centre in #Libya earlier this year, including survivors of the…",2.0
58,58,TheNewsTodayPak,263,2020-03-24 12:25:15,"#Coronavirus outbreak: Shehbaz says now not time for politics 

MediaCellPPP PTIofficial PmlnMedia pmln_org…",2.0
59,59,TomthunkitsMind,68038,2020-03-24 12:25:15,"They Documented the #Coronavirus Crisis in Wuhan. Then They Vanished. 
#TuesdayThoughts",0.0
60,60,cnceasytech,20,2020-03-24 12:25:14,"choose wisely, Stay safe and stay at your home. Let's fight Corona

#corona #StayAtHomeSaveLives #India…",0.0
61,61,Miss_Bilguissa,336,2020-03-24 12:25:14,"Dear #Africa , we have lost one of the most famous african saxophonist #ManuDibango because of #coronavirus so  s…",2.0
63,63,fjaempeters,7941,2020-03-24 12:25:12,Tokyo Olympics to be postponed to 2021 due to coronavirus pandemic #ioc #coronavirus,0.0
64,64,georgemappjr,7554,2020-03-24 12:25:12,Breaking News: Japanese Prime Minister Shinzo Abe has asked the International #Olympic Committee president Thomas B…,2.0
65,65,throttle_twist,6,2020-03-24 12:25:12,"We can hear what's going inside your mind. Yes, you are safe when you ride alone but safer when you stay at home.…",0.0
66,66,thats_the_japan,10,2020-03-24 12:25:11,"#Tokyo became the most infected prefecture in #Japan . 17 more people have infected with novel #coronavirus , today…",0.0
67,67,RedStarlight23,289,2020-03-24 12:25:09,.nyc311 are construction workers considered essential workers at a time like this?? Shouldn’t they stay at home too?? #coronavirus,0.0
68,68,AATHSBC,507,2020-03-24 12:25:09,"Therapy Dogs Jackie, Junior, &amp; Bentley sending a fuzzy #therapygram to miramarfd miramarfirerescuecadets TY for al…",1.0
69,69,ThanetCouncil,7901,2020-03-24 12:25:07,Please continue to visit our website  for the latest information about our services…,0.0
70,70,AUG_JAGWIRE,2375,2020-03-24 12:25:07,The students at MCG_AUG are helping lead the #COVID19 response with a #pandemic medicine course #coronavirus,0.0
72,72,AMSCompositeC,490,2020-03-24 12:25:06,#Coronavirus: What Air Products is doing  airproducts gasworld,0.0
73,73,SyedNou1990,27,2020-03-24 12:25:06,Even as the #CoronaVirus outbreak has taken us by storm another disease #HantaVirus is also rearing its ugly head.…,0.0
74,74,GeorgeHerald,3780,2020-03-24 12:25:06,There is enough food for all under the South African sun #coronavirus #covid-19,1.0
75,75,Incandescere,334,2020-03-24 12:25:05,This month's Lotus Moment reminds me of calmer days. Ones where most of us went to the park and practiced social di…,1.0
76,76,LBRUT,22375,2020-03-24 12:25:05,.TfL have cancelled their drop-in exhibitions regarding the  proposals for a temporary Hammersmith traffic bridge…,0.0
77,77,ThinkSimplicity,6999,2020-03-24 12:25:05,"Smiths Group ramps up weekly production of #ventilators

#UK #recruitment #UKmfg #sector…",0.0
80,80,StuartTaub,381,2020-03-24 12:25:04,"""The impact of the #coronavirus will cause a disruption to American society that will last well beyond the current…",0.0
81,81,GraaffReinetA,129,2020-03-24 12:25:04,There is enough food for all under the South African sun #coronavirus #covid-19,1.0
82,82,enjovia,655,2020-03-24 12:25:04,“Home delivery through the OpenTable app is a good alternative to dining out. Another option is to buy restaurant g…,0.0
83,83,YPE_NYC,386,2020-03-24 12:25:04,"""Every industry in the world faces dangers and disruptions from the COVID-19 pandemic. Not all of those industries…",1.0
84,84,WarConspiracies,24,2020-03-24 12:25:03,cnni Can you get it twice the #coronavirus,0.0
86,86,Free_Byron_Case,628,2020-03-24 12:25:03,"#ByronSays ""Panic over #coronavirus exists even in #prison. The administration wants everything wiped with a bleach…",2.0
88,88,The_NewArab,71369,2020-03-24 12:25:03,Middle East governments must do more to more to tackle an economic crisis gripping the world due to the…,0.0
89,89,KnysnaPlett,4828,2020-03-24 12:25:03,There is enough food for all under the South African sun #coronavirus #covid-19,1.0
90,90,RedEyeMediaGrp,1536,2020-03-24 12:25:03,STREAM DISEASE BY TEE SLAVES  via RedEyeMediaGrp #NewMusic #NewArtist #TeeSlaves…,2.0
91,91,OudtshoornC,1508,2020-03-24 12:25:03,There is enough food for all under the South African sun #coronavirus #covid-19,1.0
92,92,Fromgirltogirl,1320,2020-03-24 12:25:03,"So #wuhanchina will lift its lockdown  on April 8,2020 - nearly 3 months after the lockdown began. 

#covid_19…",1.0
93,93,SuidKaapForum,403,2020-03-24 12:25:03,There is enough food for all under the South African sun #coronavirus #covid-19,1.0
95,95,MBAdvertiser,2607,2020-03-24 12:25:03,There is enough food for all under the South African sun #coronavirus #covid-19,1.0
97,97,Hoosier84,1387,2020-03-24 12:25:02,"This doesn't augur well...
Florida college students test positive for #coronavirus after going on spring break…",1.0
99,99,SamPBridges,130,2020-03-24 12:25:02,WTF! World is suffering from #CoronaVirus and #Hantavirus is on its way to World.,2.0
100,100,Anu18Radha,23,2020-03-24 12:25:02,#CoronaVirus those trolling SrBachchan for his beliefs which is not unscientific either are the ones who also do m…,0.0
102,102,JuliaFello,3712,2020-03-24 12:25:02,"Report: #Japan PM to propose #Olympics delayed 'til 2021
 #SocialDistancing #Coronavirus #COVID19",0.0
106,106,adiskype,562,2020-03-24 12:25:01,"""Coronavirus: Deaths in Spain rise sharply to over 2,500"" #Coronavirus",2.0
107,107,NGvibezs,303,2020-03-24 12:25:01,"Lagosians struggling for a BRT bus this morning. There goes social distancing
#CORONAVIRUS 
#socialdistance -…",2.0
109,109,_moneymarketing,24739,2020-03-24 12:25:00,#Coronavirus: Good news or bad for DB transfers? MikeKlimes_MM explores,2.0
110,110,com_amasa,1612,2020-03-24 12:25:00,"#COVIDー19: Kwara State Governor, Mallam RealAARahman has declared #Coronavirus pandemic a national security issue…",0.0
113,113,HarpOnSports,2833,2020-03-24 12:25:00,"Ok Cowboy - when the first big outbreak hits Texas I fully expect you, sans mask if there aren't enough, helping Do…",0.0
114,114,sjfrankdennis,2444,2020-03-24 12:25:00,"“Just a reminder that when Shakespeare was quarantined because of the plague, he wrote King Lear.”
.
#StayHome…",0.0
115,115,Royal_Greenwich,39952,2020-03-24 12:25:00,In line with Government advice all adventure play centres in Royal Greenwich are now closed #COVID19 #coronavirus #StayHomeSaveLives,1.0
118,118,praxisorthocare,1,2020-03-24 12:24:58,"This Ugadi let’s play it safe and pledge to stay indoors and celebrate this festival of new beginnings.
#Ugadi…",1.0
119,119,IHVNigeria,2731,2020-03-24 12:24:57,#BeAlert #DontPanic Protect yourself and others from #CoronaVirus #TakeResponsibility,1.0
120,120,michaelcdeibert,10862,2020-03-24 12:24:57,45 cases of #coronavirus confirmed thus far in Democratic Republic of #Congo  #drc,0.0
122,122,PragNews,413,2020-03-24 12:24:56,Reliance Industries announced a slew of initiatives to help its employees manage financial stress. Reliance said th…,1.0
123,123,MarkSpartaFACHE,214,2020-03-24 12:24:55,#Coronavirus affects all age groups. Get the facts from HackensackUMC &amp; #StayAtHome,0.0
124,124,SonOfAlgos,591,2020-03-24 12:24:54,"SenMarkey ⚠️

Trump &amp; the GOP are touting killing off our elderly &amp; poor as the solution to 'protecting the econo…",2.0
125,125,CalvinSwine905,2601,2020-03-24 12:24:54,#Spain: #Elderly #Care #Home #Residents Found #Dead In Their #Beds As #Coronavirus Toll Worsens via forbes,0.0
126,126,tng_social,2507,2020-03-24 12:24:54,"MARKET LEADERS, TRADERS’ ASSOCIATION OF NIGERIA URGE MEMBERS TO SHUTDOWN MARKETS TEMPORARILY
#CORONAVIRUS #COVID19…",0.0
128,128,ANI,3557402,2020-03-24 12:24:54,"DRDO, Bharat Electronics Limited&amp;other main organisation of Govt of India which are research-related, have been con…",2.0
129,129,ProdSvcs,199,2020-03-24 12:24:54,"Just be sure ONLY #CORONAVIRUS funding is in the bill you pass! No PORK, No Election Rule Changes, No Sanctuary Cit…",0.0
130,130,basemn63,22657,2020-03-24 12:24:53, The Ministry of Waqf &amp; Religious Affairs unanimously agreed by the scholars &amp; the Mufti of #Gaza &amp; decided to clo…,0.0
131,131,ronanmadigan,956,2020-03-24 12:24:53,BryanMIreland morningireland #Carson wouldn’t be impressed... standards are dropping! #NoTie #DowntonAbbey #coronavirus #COVIDー19,0.0
132,132,pkshukla92,56,2020-03-24 12:24:52,"Visakhapatnam records 3 fresh cases of coronavirus

#Coronavirus #Visakhapatnam #AndhraPradesh
#CoronavirusLockdown",1.0
134,134,isaaq_ola,102,2020-03-24 12:24:52,"#Coronavirus, I enjoin the governors of all the states that this coronavirus has not entered to lock up their state…",1.0
135,135,kitakatakilburn,257,2020-03-24 12:24:52,"Finally, #Japan PM Abe asks the #IOC to delay the #Olympics by a year.
Now Japan can get serious about fighting #coronavirus hopefully.",0.0
136,136,heeatherzhu,94,2020-03-24 12:24:51,Need some positive things. #coronavirus,1.0
137,137,swahacartoons,579,2020-03-24 12:24:50,"#ManuDibango dies from #Covid_19. #Uderzo leaves us.
Two international legends... 
#tribute #asterix…",2.0
138,138,LancsPolice,181648,2020-03-24 12:24:50,We are getting a high volume of calls around the government rule requiring people to stay at home. The best source…,0.0
139,139,StndWthIsrael,194,2020-03-24 12:24:49,Neo-Nazis Urge Supporters to Target Jews for Coronavirus Spread  #Antisemitism #Coronavirus…,0.0
140,140,LakhaniFootwear,103,2020-03-24 12:24:49,Proud of the commitment &amp; determination shown by Team #AirIndia led by Capt. #SwatiRawal. She rescued 265 Indians f…,1.0
142,142,BlackpoolPolice,13678,2020-03-24 12:24:48,We are getting a high volume of calls around the government rule requiring people to stay at home. The best source…,0.0
143,143,Beenishmuffin,2954,2020-03-24 12:24:47,First #coronavirus and now #hantavirus ready to ruin 2020 like:,2.0
144,144,Practo,20623,2020-03-24 12:24:47,"Since there is no definitive treatment, we should take adequate measures to prevent the onset of Coronavirus. Dr CM…",0.0
147,147,LGraen,824,2020-03-24 12:24:46,"I had pneumonia in 2016. I couldn't breathe normally for months. Antibiotics saved me, but they don't work with thi…",2.0
148,148,Melina_Spathari,2190,2020-03-24 12:24:46,➡️I call on #EU leaders to protect refugees on the Greek islands from corona. #SOSMoria,0.0
152,152,ZulfikarAli514,404,2020-03-24 12:24:43,"Iran #coronavirus updates: 24,811 confirmed cases, 1,934 deaths, 8,913 recovered

#Iran #COVIDー19 #CoronaVirusIran",0.0
157,157,streetz945atl,39481,2020-03-24 12:24:41, Special Giveaway  CALL IN Monday through Friday (8:25am) for your chance to win $200 With iamyungjoc &amp; badersc…,1.0
158,158,DebraBrewbaker,717,2020-03-24 12:24:40,Along the road to Ration-Books. Probably should go pick up a bag of sugar now. Thank God I stopped wearing pantyhos…,1.0
159,159,MoniNovoa,1775,2020-03-24 12:24:40,"So incredibly sad. Manu Dibango, Presente. Rest In Peace and Power. #coronavirus",2.0
160,160,kre8tive2,4,2020-03-24 12:24:40,"#CoronaVirus The Whitehouse needs to shut down Trump from talking to the American people. He spews stupidity, is ob…",2.0
161,161,CoronaVirus333,127,2020-03-24 12:24:40,#coronavirus - UK’s NHS hospitals could run out of beds in 2 weeks,0.0
162,162,ctrlamb,8794,2020-03-24 12:24:39,"“It’s not essential for people to travel to churches in order to pray.

We have to learn that our prayer is rooted…",0.0
163,163,esseeeayeenn,3093,2020-03-24 12:24:38,"By the way DO NOT CHANGE YOUR SUPER.
Even if there is a safer investment option it is TOO LATE to change.
Changing…",0.0
164,164,3sqmeal,612,2020-03-24 12:24:38,RobinRoberts GMA Stay at Home Response | Publisher Free eBook Download | Ends 03/28/20,0.0
165,165,HassanSjillani,3601,2020-03-24 12:24:35,Dr Zain-Ul-Abideen Bhayo working at Quarantine Center Sukkur has been tested positive for #coronavirus &amp; has been i…,1.0
167,167,Ground_app,2004,2020-03-24 12:24:34,See how the Independent coverage compares against other news outlets on Ground News #coronavirus #WHO #Medical…,0.0
168,168,QuestTVNetwork,321,2020-03-24 12:24:34,A 14-year-old's quick thinking could save a lot of lives during the Coronavirus pandemic. Check out how this teen i…,0.0
169,169,benclatworthy,4590,2020-03-24 12:24:34,Looking dead cert Olympics will now be delayed as Japanese PM asks IOC to delay to 2021. Will Paris be 2024 still o…,2.0
170,170,ShaunLintern,28937,2020-03-24 12:24:33,Read our simple run through of the official UK government advice on #coronavirus,1.0
171,171,Judeisherwood,93,2020-03-24 12:24:33,Day 7 quarantine- combined exercise with food shop. Quite surreal #quiet #isolation #quarantine #coronavirus…,1.0
175,175,BrandedBrahmanP,7331,2020-03-24 12:24:30,"""Coronavirus Tweets from Indian authorities"" #coronavirus",2.0
176,176,tcn,758,2020-03-24 12:24:30,"Depending on your business circumstances, #ContactCenter activity may go up during the #coronavirus pandemic. Read…",1.0
179,179,Ground_app,2004,2020-03-24 12:24:29,See how the Independent coverage compares against other news outlets on Ground News #coronavirus #WHO #Medical…,0.0
180,180,PACTHR,283,2020-03-24 12:24:29,Thank you for your patience and understanding in this troubling and uncertain time. We have setup a central hub for…,0.0
181,181,AiyshwaryaM,18113,2020-03-24 12:24:28,This is what our elected representatives should be doing! Thank you MBPatil sir! This is all of our fight! …,1.0
182,182,honeycombcs,297,2020-03-24 12:24:28,"This #Ugadi, we at #Honeycomb wish you all hope, faith, &amp; power to fight #Covid_19. Remember to maintain good &amp; pro…",1.0
184,184,chemnitr,80,2020-03-24 12:24:27,"Dear #China that's a bad way to teach world about Viruses. Kindly stop it.

#Hantavirus 
#CoronaVirus",2.0
187,187,jonbirch_artist,1543,2020-03-24 12:24:26,"Yeh, I know it’s a bit dark. Maybe one to share with any friends who are still behaving like morons. #nhs #nhsnurse…",2.0
188,188,tombrown9185,5,2020-03-24 12:24:26,"How is #coronavirus affecting #business, and how can #ecommerce help? These questions and more answered in this wee…",0.0
189,189,isabelpazmino,239,2020-03-24 12:24:25,"Free Webinar from ICIS.
#Coronavirus: Impact on China #Petrochemical #Industry
#QuaratineLife #LearnAtHome",0.0
191,191,igneiudicium,546,2020-03-24 12:24:25,"WomanGroomer I don't think that is a question, or his proposed solution: Rather, it is the de facto state of thing…",0.0
192,192,YLHBerlin,720,2020-03-24 12:24:24,"☀️ Happy Tuesday ☀️
We want to hear from you:

What tips and tricks do you use to keep yourself organized and mo…",1.0
193,193,SJHospice,2109,2020-03-24 12:24:23,"In line with Government and Public Health England Advice our shops are now closed until further notice.
Thanks agai…",0.0
194,194,PrudenceWanyama,156,2020-03-24 12:24:23,Corrupt #Ruto is dying of depression now that there are no more church services to attend and distribute plunder.He…,2.0
195,195,bollybubble,121778,2020-03-24 12:24:23,"Amidst #Coronavirus lockdown, #KanganaRanaut hosts ‘Kanya Puja’ on her birthday; Netizens ask, “No social distancin…",1.0
196,196,WayneDFontana,4465,2020-03-24 12:24:23,Get all the latest information related to the #Coronavirus outbreak in my weekly News &amp; Views. Reminder about tomor…,0.0
199,199,JCPhysioLtd,256,2020-03-24 12:24:22,"Jonathan Clark Physiotherapy is closed until further notice! 
Please read our latest email for more information. -…",0.0
200,200,MeTheOne8,3586,2020-03-24 12:24:22,"""Sempra Energy Foundation To Donate Up To $1 Million To California Nonprofits Impacted By COVID-19 - Many nonprofit…",1.0
201,201,StephCraigDC,321,2020-03-24 12:24:22,.UCF is not helping #FlattenTheCuve by forcing students to travel back to empty their rooms. Travel? Gathering? No…,0.0
202,202,Telegraph,2831137,2020-03-24 12:24:21,"*THREAD*

David Attenborough is full of vim and vigour and comfortingly dismissive of the whole damn thing. 

He sa…",2.0
203,203,kimhowarddc,3440,2020-03-24 12:24:20,Grocers Stopped Stockpiling Food. Then Came #Coronavirus  via WSJ,0.0
204,204,T_Gatzemeier,332,2020-03-24 12:24:19,"The coronavirus and your #money
✔Should you fear the #coronavirus and what to expect.
✔Recessions and impacts to t…",2.0
205,205,BoyGeekDrone,338,2020-03-24 12:24:19,"Deaths in Spain 2,500 at 14/15 days. China have had around 3,100 deaths altogether.

#coronavirus #covid19",2.0
206,206,TomthunkitsMind,68038,2020-03-24 12:24:18,"I'M NOT MONDAY MORNING QUARTERBACKING ON FRIDAY, BUT BY TRUMP SAYING ""STAY CALM, IT WILL GO AWAY"" ABOUT THE…",2.0
207,207,postbus88,107,2020-03-24 12:24:18,"Important Notice concerning #CoronaCrisis #CoronaVirus
.
The two ""Happy Birthdays"" 
are as of now to be replaced by…",1.0
208,208,parliamentview,3939,2020-03-24 12:24:17,MartinSLewis One of the issues of claiming UC is the trap of Minimum Income Floor once this is all over. If you ar…,0.0
209,209,CovidSaga,24,2020-03-24 12:24:17,Day 10/11 symptoms. Cough has seriously worsened. Husband rigged up noisemaker for me in case I couldn’t yell for h…,0.0
211,211,vocoReading,39,2020-03-24 12:24:16,Please note the hotel is temporarily closed. We are working through contacting you to cancel any reservation you ma…,0.0
213,213,maraudersmap,1225,2020-03-24 12:24:16,"The #UKLockdown might be quite an 'eye-opener' for those that Voted #Tory

#coronavirus

The middle class are about…",0.0
215,215,DPBell,9546,2020-03-24 12:24:14,Unplug. Take a breathe. Here is some Spiritual Prescription for the #Coronavirus: A Guided Meditation…,1.0
217,217,FIDFNewEngland,364,2020-03-24 12:24:14,"There are now 25 confirmed cases of the #coronavirus in the IDF with 5,579 #soldiers &amp; #civilian employees of the…",0.0
218,218,nishant4_king,375,2020-03-24 12:24:14,"#Hantavirus is trending.
Meanwhile #CoronaVirus to #Hantavirus",0.0
219,219,TheGCSP,8226,2020-03-24 12:24:13,"These are 4 systematic responses to health pandemics  : 

#COVID19 #Coronavirus #Pandemic…",0.0
220,220,AnnQld1,8199,2020-03-24 12:24:13,"Looks like we just joined a number of other countries in an effort to stop the spread of #Coronavirus
#COVID19Aus…",0.0
222,222,emilykholcomb,2044,2020-03-24 12:24:12,"Lamonaiznam Barnes_Law JordanSchachtel Remember, Trump is the ultimate pacer.

Ask ScottAdamsSays.

#COVID19…",0.0
223,223,TSB,52943,2020-03-24 12:24:11,CitizensAdvice provide independent advice and have information on their website to help you find some answers if y…,0.0
224,224,BarrysStrawman,483,2020-03-24 12:24:11,Joe Biden(D) Has Repeatedly Downplayed Threat Of China To The U.S. (VIDEO),2.0
226,226,Nayeemofficial3,3,2020-03-24 12:24:10,"When you want to cough but you are in north korea

#KashmirCovid19 #kashmir #American #indian #coronavirus…",2.0
227,227,melissarob86,47,2020-03-24 12:24:10,Biz2Credit is standing with small #businesses during this difficult time due to the #Coronavirus outbreak.…,0.0
228,228,freakydhull,19,2020-03-24 12:24:10,"#Height of #bad luck
Died of #corona
Again born in #China
Died of #hanta virus
Again born in #china
#Hantavirus…",2.0
230,230,SuddenLunch,2068,2020-03-24 12:24:08,Make sure you store your leftovers properly so you can use and enjoy every scrap of food during #coronavirus…,1.0
231,231,LogicAutocare,0,2020-03-24 12:24:07,"*** #CORONAVIRUS UPDATE ***
As part of our commitment to supporting Government requests and guidelines, Logic will…",0.0
233,233,MVresistance,170,2020-03-24 12:24:05,#CoronavirusOutbreak was declared a global pandemic by #WHO on 11 March. The WHO said it took more than 03 months t…,0.0
234,234,aanddrec,332,2020-03-24 12:24:05,Remote working will now be the new norm except for “key workers”  #coronavirus…,0.0
235,235,RasaNewsEN,68,2020-03-24 12:24:04,"Director General of Islamic Development Organization of Mazandaran:
The US’ claim of human rights is the world’s mo…",0.0
236,236,ShireenJ,1528,2020-03-24 12:24:03,"The cityoftoronto still sending out forms to ppl in poverty reduction programs as if anyone can confirm, yeah, sti…",2.0
239,239,HottestStockNow,1192,2020-03-24 12:24:00,$GM Fortifies Balance Sheet in Response to COVID-19    #GeneralMotors    #Coronavirus    #COVD19,0.0
240,240,theBAtimes,3929,2020-03-24 12:24:00,"#Argentina #Covid19 #Coronavirus #Update

The Health Ministry said Monday that a total of 36 new cases of the novel…",1.0
241,241,axbxr_x,1845,2020-03-24 12:23:59,Looks like we’ll be in self-isolation till 2022. #Hantavirus #covid19 #coronavirus,0.0
242,242,samarawrex,39,2020-03-24 12:23:59,"I do believe if things don’t change soon, then we can bet our money on this becoming some purge type shit real fast…",2.0
244,244,DonnaBethFarley,37,2020-03-24 12:23:58,"No, Lt. Gov. Patrick, I’m not willing to sacrifice my 80+ year old parents for the sake of the economy.…",2.0
245,245,brenda11831,395,2020-03-24 12:23:58,"the Occupational Safety and Health Admin OSHA_DOL  

“At this time, there is no evidence that #coronavirus is spre…",0.0
246,246,hittesh007,139,2020-03-24 12:23:57,"#Hantavirus
When you just recovered from #Coronavirus and see #Hantavirus trending on Twitter...
Kab sudhroge saalo…",0.0
250,250,idonthaveahname,165,2020-03-24 12:23:54,"Coronavirus: Deaths in Spain rise sharply to over 2,500 #Coronavirus",2.0
251,251,UmerRaj84520397,3,2020-03-24 12:23:54,I am requesting to narendramodi mygovindia. plz restore the 4g Network in Kashmir so people get the imp news &amp; in…,2.0
