,Unnamed: 0,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,Stance - Scrapping of Article 370,tone
30,11420,1160625018369445888,1160625018369445888,1565549542000,2019-08-11,11:52:22,PDT,47302211.0,jobinindia,🇮🇳 SKumarS 🇨🇦🍁,,Article370 BJP4India gone berserk  That 'Kashmiri woman' happy at scrapping of 370 in the photo BJP MP Goel tweeted? It's from 2014  http://dhunt.in/6JgSG?s=a&ss=pd  Kashmir KashmirIssue,['bjp4india'],['http://dhunt.in/6JgSG?s=a&ss=pd'],[],0,0,1,"['#article370', '#kashmir', '#kashmirissue']",[],https://twitter.com/jobinindia/status/1160625018369445888,False,,0,Against,{'tones': []}
31,12014,1160549679597154304,1160549679597154304,1565531580000,2019-08-11,6:53:00,PDT,729894487.0,akhileshrampura,Akhilesh Choudhary,,"BBCLostCredibilityOnJammuKashmir as it fails to show how removal of a discriminatory Article370 brings EQUALITY to the ppl of Jammu Kashmir in more ways than one. Rather it continues to peddle a biased & fake narrative,helping ""only"" the Jihadi ideology.",[],[],[],0,1,1,"['#bbclostcredibilityonjammukashmir', '#article370']",[],https://twitter.com/AkhileshRampura/status/1160549679597154304,False,,0,Against,"{'tones': [{'score': 0.558084, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}"
32,7160,1161576205511880704,1161576205511880704,1565776323000,2019-08-14,2:52:03,PDT,8.523331317724404e+17,odishalinkslive,Odisha Links,,A Message To Nation : By A Little Boy Triranga Priyadarsan About Article370 Kashmir India  Full Video   https://youtu.be/BHexIjgMyqU  KashmirMeinTiranga KashmirHamaraHai GovtOfIndia_ narendramodi Naveen_Odisha ANI AmitShah DefenceMinIndia PandaJay dpradhanbjp pic.twitter.com/DA4ewL7G7j,"['govtofindia_', 'narendramodi', 'naveen_odisha', 'ani', 'amitshah', 'defenceminindia', 'pandajay', 'dpradhanbjp']",['https://youtu.be/BHexIjgMyqU'],[],0,0,4,"['#article370', '#kashmir', '#india', '#kashmirmeintiranga', '#kashmirhamarahai']",[],https://twitter.com/odishalinkslive/status/1161576205511880704,False,,1,Against,"{'tones': [{'score': 0.55795, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}"
33,24188,1159242883532066817,1158716323217780736,1565220015000,2019-08-07,16:20:15,PDT,9.987198282558833e+17,aisyy1101,Aisyy1101,,URGENT.Allah has revealed through Muhammad Qasim's true dream that USA made a plan for India to control Pakistan. Check this out and do your PLANNING to SAVE the country.  https://youtu.be/C_XDG9sEkCY  MuhammadQasimDreams KashmirBleeds Article370,['smqureshipti'],['https://youtu.be/C_XDG9sEkCY'],[],0,0,0,"['#muhammadqasimdreams', '#kashmirbleeds', '#article370']",[],https://twitter.com/Aisyy1101/status/1159242883532066817,False,,0,Against,"{'tones': [{'score': 0.592734, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.709964, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.681506, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}"
34,14790,1160101276975325184,1160101276975325184,1565424672000,2019-08-10,1:11:12,PDT,2371513177.0,siwelylla,A Munroe🧢,,When will journalist hold India’s politicians to account for dereliction of duty? Nehru guaranteed on behalf of india that Kashmir people will decide own fate. Why has india revoked Article370? It must be reinstated or World won’t believe india in future.  https://twitter.com/bdutt/status/1160051465924124673 … pic.twitter.com/7oL2WhRboV,[],['https://twitter.com/bdutt/status/1160051465924124673'],['https://pbs.twimg.com/media/EBmB8u-XsAAimih.jpg'],0,0,0,['#article370'],[],https://twitter.com/siwelylla/status/1160101276975325184,False,,0,Against,"{'tones': [{'score': 0.739936, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}"
35,8300,1161272459632320512,1161263942959636481,1565703904000,2019-08-13,6:45:04,PDT,163345792.0,neelamsumbrui,Neelam Sumbrui,,"There are so many INCIndia leaders working on the issue of Article370. Why only priyankagandhi is supposed to give a bite on the issue, when she is not working on it?! Do you mean to imply that the pain of the Tribal victims of SonbhadraMassacre is less?!","['rajkishorlive', 'abpganga', 'priyankagandhi', 'incindia']",[],[],0,0,0,"['#article370', '#sonbhadramassacre']",[],https://twitter.com/neelamsumbrui/status/1161272459632320512,False,,0,Neutral ,"{'tones': [{'score': 0.747894, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.895035, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.655928, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}"
36,28229,1159012305893330944,1159011741944225793,1565165041000,2019-08-07,1:04:01,PDT,1.0821436271139881e+18,menaraindah1,Menara Indah,,URGENT.Allah has revealed through Muhammad Qasim's true dream that USA made a plan for India to control Pakistan. Check this out.   https://youtu.be/C_XDG9sEkCY  MuhammadQasimDreams KashmirBleeds Article370,['radiopakistan'],['https://youtu.be/C_XDG9sEkCY'],[],0,0,0,"['#muhammadqasimdreams', '#kashmirbleeds', '#article370']",[],https://twitter.com/MenaraIndah1/status/1159012305893330944,False,,0,Against,"{'tones': [{'score': 0.568515, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.780034, 'tone_id': 'confident', 'tone_name': 'Confident'}]}"
37,11044,1160764147296022528,1160764147296022528,1565582713000,2019-08-11,21:05:13,PDT,158218335.0,hollywoodcurry,Parthiban Shanmugam,,"Had there been a Hindu majority in Kashmir, BJP wouldn't have touched it (Article370), but because there is a Muslim majority in Kashmir, they abrogated it.” - .PChidambaram_IN, former  Union Minister & .INCIndia leader in Chennai, TamilNadu pic.twitter.com/eN7J8n8Pko","['pchidambaram_in', 'incindia']",[],['https://pbs.twimg.com/media/EBvc1xBXUAA2_Qq.jpg'],0,0,3,"['#hindu', '#kashmir', '#article370', '#muslim', '#tamilnadu']",[],https://twitter.com/hollywoodcurry/status/1160764147296022528,False,,0,Against,"{'tones': [{'score': 0.77494, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}"
38,436,1163519165757419520,1163519165757419520,1566239560000,2019-08-19,11:32:40,PDT,4417083434.0,kanchanp907,Kanchan Pandey 🇮🇳,,"This is more nation friendly, more agreeable. Rightly interpreted. Article370  https://twitter.com/__lalit__/status/1163405111604858880 …",[],['https://twitter.com/__lalit__/status/1163405111604858880'],[],0,0,1,['#article370'],[],https://twitter.com/kanchanp907/status/1163519165757419520,False,https://twitter.com/__lalit__/status/1163405111604858880,0,Favor,"{'tones': [{'score': 0.939283, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}"
39,3329,1162456812127309824,1162456812127309824,1565986276000,2019-08-16,13:11:16,PDT,126841380.0,praveen_kalsan,Praveen Kumar Kalsan,,Our legal abdication on liberties is a sign that we are not ready to treat Kashmiris as ordinary Indians and that we are willing to debase ourselves in the face of an executive that is acting more colonially than a colonial power. Article370 Article35A Kashmir https://twitter.com/pbmehta/status/1162437839138590720 …,[],['https://twitter.com/pbmehta/status/1162437839138590720'],[],0,0,0,"['#article370', '#article35a', '#kashmir']",[],https://twitter.com/praveen_kalsan/status/1162456812127309824,False,https://twitter.com/pbmehta/status/1162437839138590720,0,Against,{'tones': []}
40,21221,1159427388037484551,1159403171342626816,1565264005000,2019-08-08,4:33:25,PDT,1.126738059658027e+18,bharad_uppala,Bharadwaj,,"The 8pm speech has been leaked, and the summery is "" Bhaio aur Beheno, Article370 is gone and jisko iss se thaklif huvaa.. Aap bhaadme jaaa...!""",['vivekagnihotri'],[],[],0,0,0,['#article370'],[],https://twitter.com/Bharad_Uppala/status/1159427388037484551,False,,0,Neutral ,{'tones': []}
41,38142,1158682964500389888,1158682964500389888,1565086520000,2019-08-06,3:15:20,PDT,34494454.0,bratistotle,Beetoxication,,"Pakistan shouting out platitudes about democracy, constitutionalism and secularism in the aftermath of Article370 being scrapped is really cute. Kisses!",[],[],[],0,0,1,['#article370'],[],https://twitter.com/Bratistotle/status/1158682964500389888,False,,0,Favour,"{'tones': [{'score': 0.742493, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.596122, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.71572, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}"
